id,name,city,credit_limit
2677,Leo Smith,Berlin,2000
2678,Alice Wright,Madrid,1000
2679,Jack Allen,Vienna,10000
2680,Yuki Lewis,Paris,500
2681,Grace Evans,Warsaw,1000
2682,Hank Thomas,Amsterdam,2000
2683,Rosa Wilson,Amsterdam,1000
2684,Alice Davies,Prague,500
2685,Alice Turner,Rome,5000
2686,Uma Perez,Madrid,2000
2687,Grace Roberts,Stockholm,1000
2688,Leo Perez,Lisbon,1000
2689,Quinn Perez,Riga,5000
2690,Wendy Williams,Madrid,1000
2691,Eve Perez,Vienna,1000
2692,Rosa Walker,Lisbon,2000
2693,Tina Hall,Brussels,500
2694,Yuki Green,Athens,1000
2695,Rosa Roberts,Rome,2000
2696,Hank Jones,Prague,1000
2697,Quinn Scott,Copenhagen,1000
2698,Xena Williams,Copenhagen,10000
2699,Carol Davies,Helsinki,5000
2700,Yuki Baker,Helsinki,2000
2701,Paul King,Stockholm,1000
2702,Karen Nelson,Lisbon,10000
2703,Wendy Young,Copenhagen,5000
2704,Iris Scott,Dublin,10000
2705,Uma Jones,Vienna,1000
2706,Grace Allen,Brussels,5000
2707,Grace Roberts,Oslo,5000
2708,Sam Davies,Lisbon,2000
2709,Rosa Williams,Rome,500
2710,Jack Allen,Helsinki,2000
2711,Hank Scott,Paris,5000
2712,Quinn Green,Budapest,5000
2713,Olivia Allen,Oslo,5000
2714,Leo Perez,Copenhagen,2000
2715,Iris Walker,London,1000
2716,Olivia Wilson,Prague,500
2717,Leo Williams,Warsaw,10000
2718,Quinn Wright,Berlin,2000
2719,Hank Brown,Madrid,500
2720,Leo Jones,Zurich,1000
2721,Karen Evans,Budapest,2000
2722,Jack Carter,Prague,1000
2723,Wendy Green,Rome,10000
2724,Iris Smith,Warsaw,2000
2725,Leo Perez,Dublin,5000
2726,Sam Mitchell,London,5000
2727,Uma King,Rome,5000
2728,Hank Wilson,Vienna,5000
2729,Hank King,Athens,10000
2730,Yuki Allen,Stockholm,2000
2731,Zoe Williams,Budapest,1000
2732,Nick Mitchell,Oslo,1000
2733,Olivia Allen,Zurich,500
2734,Leo Taylor,Athens,1000
2735,Jack Carter,London,5000
2736,Zoe Adams,Lisbon,2000
2737,Hank Hall,Oslo,5000
2738,Yuki Mitchell,Zurich,2000
2739,Karen Scott,London,10000
2740,Zoe Jones,Rome,1000
2741,Karen Scott,Riga,10000
2742,Sam Campbell,Dublin,5000
2743,Grace Walker,Berlin,10000
2744,Maya Evans,Copenhagen,500
2745,Karen Scott,Stockholm,2000
2746,Carol Davies,Madrid,10000
2747,Frank Jones,Riga,5000
2748,Alice Davies,Vienna,500
2749,Maya Roberts,Vienna,1000
2750,Jack Adams,Helsinki,500
2751,Olivia Jones,Lisbon,10000
2752,Alice Davies,Budapest,5000
2753,Maya Davies,Madrid,1000
2754,Rosa Hall,Copenhagen,500
2755,Maya Campbell,Vienna,1000
2756,Grace Roberts,Oslo,5000
2757,Frank Green,Athens,2000
2758,Sam Evans,Helsinki,5000
2759,Iris Evans,London,1000
2760,Olivia Williams,Dublin,10000
2761,Zoe Wilson,Helsinki,2000
2762,Sam Young,Stockholm,5000
2763,Sam Jones,Berlin,2000
2764,Uma Allen,Lisbon,2000
2765,Maya Green,Amsterdam,5000
2766,Hank Davies,Riga,5000
2767,Olivia Walker,Amsterdam,10000
2768,Dave Walker,Paris,1000
2769,Frank Thomas,Zurich,2000
2770,Victor Williams,Vienna,5000
2771,Nick Mitchell,Zurich,500
2772,Leo Williams,Madrid,10000
2773,Yuki Mitchell,Budapest,5000
2774,Olivia Davies,Prague,1000
2775,Quinn Jones,Stockholm,500
2776,Carol Baker,Stockholm,5000
2777,Karen Carter,Dublin,1000
2778,Maya Jones,London,2000
2779,Dave Nelson,Rome,2000
2780,Victor Carter,Stockholm,5000
2781,Olivia Williams,Berlin,10000
2782,Victor Wilson,Stockholm,1000
2783,Paul Turner,Prague,1000
2784,Frank Turner,London,10000
2785,Dave Davies,Warsaw,500
2786,Rosa Carter,Dublin,1000
2787,Carol Adams,London,2000
2788,Eve Allen,Lisbon,1000
2789,Grace Nelson,Paris,10000
2790,Grace Allen,Paris,10000
2791,Uma Adams,Madrid,5000
2792,Wendy Roberts,Stockholm,500
2793,Tina Smith,Paris,5000
2794,Yuki Evans,Brussels,2000
2795,Hank Evans,Berlin,500
2796,Nick Smith,London,2000
2797,Grace Adams,Berlin,1000
2798,Dave Perez,Amsterdam,1000
2799,Bob Hall,Helsinki,500
2800,Karen Johnson,Zurich,1000
2801,Tina Evans,Zurich,5000
2802,Nick Brown,Brussels,1000
2803,Dave Lewis,Budapest,1000
2804,Alice Walker,Budapest,500
2805,Maya Evans,Stockholm,1000
2806,Carol Adams,Prague,10000
2807,Leo Jones,Berlin,1000
2808,Nick Roberts,Riga,5000
2809,Dave Nelson,Zurich,10000
2810,Frank Thomas,Madrid,10000
2811,Karen Baker,Dublin,1000
2812,Karen Davies,Budapest,5000
2813,Carol Johnson,London,10000
2814,Sam Allen,Dublin,10000
2815,Uma Carter,Brussels,10000
2816,Sam Nelson,London,1000
2817,Alice Green,Madrid,2000
2818,Hank Carter,Oslo,1000
2819,Tina Williams,Paris,1000
2820,Leo Young,Warsaw,1000
2821,Eve Walker,Vienna,500
2822,Hank Carter,Riga,5000
2823,Xena Johnson,Rome,2000
2824,Karen Baker,Paris,10000
2825,Zoe Hall,Warsaw,500
2826,Hank Campbell,Budapest,2000
2827,Hank Evans,Zurich,500
2828,Victor Wilson,Brussels,10000
2829,Maya King,Budapest,1000
2830,Olivia Baker,London,500
2831,Paul Williams,Vienna,500
2832,Uma Taylor,Vienna,1000
2833,Carol Davies,Athens,10000
2834,Zoe Evans,Brussels,10000
2835,Carol Hall,Stockholm,2000
2836,Frank Carter,Vienna,1000
2837,Nick Davies,Riga,1000
2838,Jack Roberts,Athens,5000
2839,Uma Evans,Prague,5000
2840,Carol Lewis,Dublin,5000
2841,Frank Young,Stockholm,5000
2842,Quinn Green,Oslo,1000
2843,Zoe Young,London,5000
2844,Nick Campbell,Berlin,2000
2845,Tina Wright,Rome,10000
2846,Xena Davies,Prague,5000
2847,Olivia Roberts,Stockholm,2000
2848,Maya Wright,Riga,5000
2849,Carol Johnson,Rome,5000
2850,Grace Taylor,Vienna,500
2851,Alice Campbell,Helsinki,2000
2852,Paul Walker,Oslo,5000
2853,Xena Lewis,Dublin,5000
2854,Jack Baker,Athens,500
2855,Nick Jones,Madrid,5000
2856,Sam Davies,Vienna,5000
2857,Iris Mitchell,Lisbon,10000
2858,Wendy Young,Lisbon,500
2859,Uma Walker,Oslo,1000
2860,Hank Young,Paris,2000
2861,Uma Nelson,London,1000
2862,Iris Green,Stockholm,1000
2863,Iris Wilson,Riga,10000
2864,Victor Turner,Amsterdam,500
2865,Dave Mitchell,Berlin,5000
2866,Maya Nelson,Athens,500
2867,Quinn Evans,Oslo,1000
2868,Nick Thomas,Warsaw,10000
2869,Rosa Adams,Dublin,10000
2870,Jack Carter,Oslo,500
2871,Dave Baker,Athens,2000
2872,Eve Thomas,Vienna,5000
2873,Wendy Roberts,London,1000
2874,Paul Smith,Madrid,500
2875,Yuki Nelson,Oslo,10000
2876,Nick Baker,Warsaw,5000
2877,Frank Davies,Lisbon,1000
2878,Wendy Taylor,Vienna,5000
2879,Frank King,Madrid,5000
2880,Sam Turner,Vienna,1000
2881,Grace Jones,Amsterdam,1000
2882,Iris Campbell,Oslo,5000
2883,Uma Green,Madrid,1000
2884,Carol Roberts,Berlin,5000
2885,Dave Thomas,Berlin,2000
2886,Alice Scott,Brussels,5000
2887,Paul Adams,Madrid,500
2888,Bob Thomas,London,10000
2889,Zoe Jones,Madrid,1000
2890,Quinn Perez,London,5000
2891,Tina King,Prague,5000
2892,Paul Mitchell,Budapest,10000
2893,Nick Johnson,Lisbon,2000
2894,Karen Turner,Brussels,2000
2895,Victor Walker,Dublin,10000
2896,Bob Lewis,Budapest,500
2897,Alice Allen,Dublin,1000
2898,Alice Green,Madrid,10000
2899,Iris Nelson,Brussels,2000
2900,Olivia Green,Copenhagen,10000
2901,Nick Adams,Vienna,500
2902,Uma Turner,Budapest,500
2903,Uma Lewis,Paris,2000
2904,Victor Allen,Brussels,10000
2905,Paul Walker,Riga,500
2906,Leo Hall,Copenhagen,500
2907,Xena Walker,Warsaw,10000
2908,Grace Nelson,Rome,10000
2909,Sam Perez,Helsinki,500
2910,Eve Young,Berlin,2000
2911,Victor Wright,Stockholm,1000
2912,Olivia Brown,Copenhagen,10000
2913,Hank Wilson,Vienna,1000
2914,Yuki Adams,Berlin,500
2915,Nick Nelson,London,1000
2916,Karen Walker,Prague,1000
2917,Xena Thomas,Copenhagen,500
2918,Victor Taylor,Zurich,5000
2919,Carol Perez,Budapest,1000
2920,Sam Mitchell,Riga,500
2921,Uma Johnson,Dublin,5000
2922,Uma Baker,Zurich,5000
2923,Zoe Wilson,Brussels,2000
2924,Dave Roberts,Berlin,500
2925,Carol Johnson,Athens,1000
2926,Xena Brown,Athens,2000
2927,Eve Campbell,Budapest,5000
2928,Sam Carter,London,2000
2929,Bob Scott,Zurich,1000
2930,Maya Hall,Budapest,2000
2931,Zoe Adams,Rome,10000
2932,Victor Green,Athens,1000
2933,Dave Walker,London,10000
2934,Olivia Johnson,Rome,2000
2935,Hank Young,Stockholm,1000
2936,Tina Roberts,Rome,500
2937,Tina Johnson,Warsaw,10000
2938,Wendy Brown,Prague,10000
2939,Paul Baker,Vienna,5000
2940,Jack Nelson,Dublin,500
2941,Zoe Johnson,Rome,1000
2942,Xena Perez,Brussels,500
2943,Yuki Davies,Copenhagen,5000
2944,Jack Turner,Amsterdam,500
2945,Rosa Walker,Budapest,5000
2946,Victor Young,Lisbon,5000
2947,Maya Williams,Helsinki,2000
2948,Jack Nelson,Vienna,10000
2949,Maya Brown,Rome,2000
2950,Yuki Perez,Athens,500
2951,Wendy Roberts,Stockholm,1000
2952,Sam Taylor,Stockholm,5000
2953,Jack Taylor,Vienna,1000
2954,Zoe Carter,Vienna,500
2955,Leo Carter,Athens,500
2956,Victor Perez,Rome,5000
2957,Nick Adams,Amsterdam,500
2958,Dave Lewis,Copenhagen,1000
2959,Bob Brown,Helsinki,2000
2960,Sam Hall,Rome,5000
2961,Hank Jones,Madrid,1000
2962,Maya Young,Warsaw,10000
2963,Frank Baker,Dublin,500
2964,Yuki Allen,Dublin,2000
2965,Uma Baker,Stockholm,2000
2966,Alice Brown,Madrid,500
2967,Dave Young,Helsinki,1000
2968,Alice Scott,Athens,10000
2969,Paul Thomas,Madrid,10000
2970,Frank Walker,Copenhagen,5000
2971,Jack Scott,Rome,500
2972,Karen Williams,Zurich,1000
2973,Maya Turner,London,5000
2974,Rosa Turner,Zurich,10000
2975,Paul Williams,Helsinki,10000
2976,Rosa Nelson,Madrid,1000
2977,Victor Brown,Amsterdam,10000
2978,Wendy Davies,London,10000
2979,Olivia Perez,Budapest,500
2980,Bob Taylor,Athens,1000
2981,Uma Davies,Berlin,10000
2982,Iris Campbell,Paris,500
2983,Dave King,Warsaw,2000
2984,Rosa Davies,Oslo,500
2985,Hank Roberts,Paris,10000
2986,Zoe Roberts,Zurich,5000
2987,Eve Scott,Copenhagen,2000
2988,Quinn Lewis,Riga,10000
2989,Quinn Evans,Madrid,500
2990,Hank Jones,Vienna,1000
2991,Jack Campbell,Vienna,1000
2992,Tina Wright,Vienna,10000
2993,Leo Thomas,Rome,10000
2994,Nick Williams,Zurich,2000
2995,Iris Walker,Amsterdam,5000
2996,Olivia Williams,Prague,5000
2997,Wendy Taylor,Zurich,1000
2998,Carol Baker,Prague,1000
2999,Wendy Lewis,Athens,10000
3000,Tina Davies,Oslo,1000
3001,Karen Perez,Oslo,5000
3002,Alice Green,Brussels,500
3003,Iris Brown,Zurich,500
3004,Victor Wright,Oslo,500
3005,Karen Baker,Berlin,2000
3006,Karen Mitchell,Prague,1000
3007,Zoe Wilson,Prague,500
3008,Dave Walker,Brussels,5000
3009,Dave Perez,Madrid,1000
3010,Quinn Carter,Warsaw,10000
3011,Zoe Young,Madrid,10000
3012,Leo Nelson,Athens,2000
3013,Rosa Thomas,Riga,500
3014,Bob Davies,Budapest,5000
3015,Frank Lewis,Zurich,10000
3016,Tina Campbell,Dublin,5000
3017,Sam Taylor,Prague,500
3018,Victor King,Rome,1000
3019,Eve Walker,Athens,2000
3020,Bob Carter,Lisbon,1000
3021,Victor Green,Oslo,5000
3022,Frank Allen,Lisbon,5000
3023,Quinn Roberts,Prague,5000
3024,Quinn Nelson,Brussels,2000
3025,Uma Campbell,Berlin,2000
3026,Nick Mitchell,Budapest,500
3027,Uma Williams,Berlin,1000
3028,Carol Davies,Athens,500
3029,Carol Carter,Warsaw,10000
3030,Paul Perez,London,5000
3031,Victor King,Rome,5000
3032,Paul King,Zurich,500
3033,Maya Smith,Riga,1000
3034,Xena Smith,Oslo,10000
3035,Xena Lewis,Brussels,10000
3036,Victor Green,Paris,10000
3037,Olivia Davies,Helsinki,1000
3038,Frank Williams,Lisbon,1000
3039,Quinn Lewis,Paris,5000
3040,Paul Walker,Amsterdam,2000
3041,Dave Johnson,Brussels,10000
3042,Yuki Campbell,Madrid,2000
3043,Jack Young,Warsaw,2000
3044,Grace Smith,Athens,5000
3045,Grace Roberts,Helsinki,500
3046,Olivia Green,Copenhagen,500
3047,Leo Smith,Riga,5000
3048,Karen Roberts,Lisbon,500
3049,Alice Lewis,Amsterdam,5000
3050,Leo Smith,Madrid,5000
3051,Paul Evans,Berlin,10000
3052,Quinn Taylor,Oslo,500
3053,Paul Smith,Rome,2000
3054,Hank Young,Dublin,2000
3055,Jack Lewis,Oslo,1000
3056,Rosa Perez,Prague,500
3057,Olivia Adams,Stockholm,1000
3058,Eve Lewis,Oslo,500
3059,Leo Campbell,Vienna,500
3060,Grace Roberts,Paris,1000
3061,Maya Hall,Budapest,500
3062,Frank Adams,Vienna,5000
3063,Victor Thomas,Madrid,5000
3064,Paul Wright,Copenhagen,1000
3065,Karen Mitchell,Dublin,10000
3066,Xena Carter,Dublin,1000
3067,Dave Brown,London,1000
3068,Eve Lewis,Helsinki,500
3069,Yuki Adams,Brussels,500
3070,Victor Turner,Budapest,5000
3071,Tina Carter,London,5000
3072,Paul Roberts,Warsaw,5000
3073,Carol Mitchell,Oslo,1000
3074,Tina Taylor,Helsinki,1000
3075,Hank Thomas,Madrid,2000
3076,Wendy Wilson,Oslo,1000
3077,Paul Nelson,Madrid,10000
3078,Tina Davies,Vienna,10000
3079,Uma Baker,Rome,1000
3080,Dave Taylor,Dublin,500
3081,Iris Evans,Rome,5000
3082,Alice Green,Vienna,500
3083,Bob Walker,Oslo,10000
3084,Jack Nelson,Brussels,1000
3085,Karen Hall,Copenhagen,500
3086,Quinn Hall,Paris,2000
3087,Dave Thomas,Lisbon,2000
3088,Leo Nelson,Oslo,1000
3089,Karen Jones,Amsterdam,500
3090,Alice Jones,Budapest,1000
3091,Jack Young,Prague,10000
3092,Dave Hall,Amsterdam,2000
3093,Paul Lewis,Budapest,2000
3094,Dave Brown,London,10000
3095,Yuki Campbell,Rome,2000
3096,Leo Carter,Lisbon,10000
3097,Quinn Green,Lisbon,1000
3098,Uma Thomas,Vienna,10000
3099,Maya Williams,Madrid,1000
3100,Uma Carter,Riga,500
3101,Bob Scott,Vienna,1000
3102,Wendy Allen,Madrid,500
3103,Rosa Green,Budapest,2000
3104,Xena Young,Vienna,10000
3105,Xena Taylor,Paris,1000
3106,Grace Hall,Zurich,2000
3107,Yuki Campbell,Zurich,2000
3108,Leo Allen,Madrid,5000
3109,Carol Young,Oslo,10000
3110,Quinn Perez,London,1000
3111,Tina Thomas,Rome,2000
3112,Bob Scott,Paris,1000
3113,Xena Turner,Dublin,5000
3114,Victor Wright,Helsinki,500
3115,Frank Allen,Helsinki,5000
3116,Rosa Mitchell,Dublin,5000
3117,Tina Thomas,Vienna,1000
3118,Alice Davies,Athens,1000
3119,Sam Nelson,London,10000
3120,Olivia King,Helsinki,2000
3121,Jack Campbell,Brussels,2000
3122,Wendy Thomas,Zurich,500
3123,Frank Wilson,Paris,10000
3124,Hank Roberts,Paris,1000
3125,Iris Taylor,Prague,500
3126,Uma Wilson,Vienna,10000
3127,Dave Smith,Lisbon,10000
3128,Leo Johnson,Berlin,10000
3129,Iris Carter,Rome,5000
3130,Tina Roberts,Budapest,500
3131,Uma Turner,London,2000
3132,Hank Carter,Prague,1000
3133,Iris Smith,Zurich,10000
3134,Dave Carter,Dublin,2000
3135,Uma Baker,Riga,10000
3136,Grace Turner,Stockholm,1000
3137,Karen Thomas,Vienna,10000
3138,Uma Perez,Dublin,1000
3139,Olivia Wilson,Oslo,2000
3140,Eve Young,Berlin,5000
3141,Frank Allen,Amsterdam,1000
3142,Grace Scott,Copenhagen,1000
3143,Uma Roberts,London,2000
3144,Frank Davies,Dublin,10000
3145,Grace Williams,Rome,500
3146,Nick Wilson,Stockholm,5000
3147,Dave Carter,Helsinki,1000
3148,Xena Mitchell,London,10000
3149,Dave Walker,Dublin,500
3150,Dave Turner,London,500
3151,Eve Wilson,Berlin,2000
3152,Eve Baker,Riga,500
3153,Zoe Smith,Madrid,10000
3154,Xena Turner,Budapest,500
3155,Grace Taylor,Copenhagen,10000
3156,Olivia Turner,Amsterdam,2000
3157,Karen Young,Rome,1000
3158,Bob Wright,Prague,10000
3159,Dave Smith,Paris,500
3160,Rosa Roberts,Madrid,10000
3161,Nick Taylor,London,1000
3162,Alice Wilson,Oslo,5000
3163,Eve Lewis,Warsaw,1000
3164,Victor Walker,Madrid,5000
3165,Frank Brown,Brussels,500
3166,Jack Lewis,Berlin,10000
3167,Karen Brown,Lisbon,500
3168,Bob Green,Rome,1000
3169,Nick King,Budapest,10000
3170,Frank Adams,Oslo,1000
3171,Victor Adams,Warsaw,10000
3172,Jack Lewis,Madrid,2000
3173,Paul Adams,Lisbon,2000
3174,Zoe Nelson,Berlin,500
3175,Eve Mitchell,Rome,2000
3176,Eve Walker,Stockholm,5000
3177,Carol Brown,Athens,5000
3178,Xena Thomas,Rome,500
3179,Karen Taylor,Amsterdam,5000
3180,Leo Johnson,Copenhagen,5000
3181,Paul Nelson,Oslo,10000
3182,Zoe Baker,Budapest,1000
3183,Zoe Baker,Brussels,5000
3184,Nick Wright,Copenhagen,10000
3185,Rosa Young,Zurich,10000
3186,Hank Walker,Berlin,10000
3187,Wendy Hall,Helsinki,10000
3188,Yuki Nelson,Brussels,500
3189,Hank Lewis,London,1000
3190,Alice Lewis,Zurich,5000
3191,Eve Brown,Paris,2000
3192,Leo Campbell,Rome,2000
3193,Olivia Taylor,Zurich,5000
3194,Hank Evans,Brussels,500
3195,Xena Taylor,Madrid,1000
3196,Maya Carter,London,5000
3197,Leo Jones,Madrid,10000
3198,Carol Young,Riga,1000
3199,Alice Taylor,Lisbon,1000
3200,Carol Wilson,Berlin,500
3201,Sam Turner,Oslo,1000
3202,Yuki Davies,Copenhagen,1000
3203,Xena King,Warsaw,5000
3204,Nick Carter,Budapest,5000
3205,Zoe Baker,London,2000
3206,Dave Taylor,Paris,500
3207,Tina Mitchell,Amsterdam,10000
3208,Frank Smith,Dublin,5000
3209,Victor Allen,Zurich,2000
3210,Sam King,Warsaw,1000
3211,Nick Davies,Prague,500
3212,Quinn Walker,Rome,1000
3213,Maya Green,Paris,1000
3214,Maya Davies,Zurich,10000
3215,Carol Turner,Stockholm,5000
3216,Karen Baker,Dublin,5000
3217,Frank Jones,Lisbon,5000
3218,Grace Thomas,Madrid,500
3219,Carol Lewis,Riga,2000
3220,Alice Wilson,Warsaw,1000
3221,Rosa Brown,Berlin,1000
3222,Tina Smith,Warsaw,1000
3223,Rosa Evans,Paris,1000
3224,Iris Williams,Athens,10000
3225,Bob Scott,Copenhagen,500
3226,Bob Johnson,Berlin,2000
3227,Alice Lewis,Warsaw,5000
3228,Quinn Evans,Budapest,5000
3229,Xena Lewis,Rome,500
3230,Karen Hall,Helsinki,500
3231,Quinn Perez,Rome,500
3232,Sam Perez,Dublin,5000
3233,Sam Campbell,Paris,2000
3234,Frank Taylor,Stockholm,500
3235,Uma Williams,Brussels,1000
3236,Zoe Adams,Rome,1000
3237,Quinn King,Riga,10000
3238,Yuki Johnson,Stockholm,1000
3239,Karen Roberts,Lisbon,10000
3240,Nick Jones,Dublin,1000
3241,Grace Green,Riga,500
3242,Eve Scott,Copenhagen,500
3243,Zoe Smith,Rome,2000
3244,Rosa Campbell,Berlin,5000
3245,Dave Allen,Budapest,1000
3246,Jack Davies,Berlin,2000
3247,Sam Lewis,Lisbon,500
3248,Carol Davies,Stockholm,2000
3249,Paul Thomas,Stockholm,1000
3250,Dave Scott,Copenhagen,500
3251,Leo Campbell,Warsaw,5000
3252,Nick Campbell,Riga,1000
3253,Olivia Lewis,Helsinki,10000
3254,Karen Lewis,Berlin,5000
3255,Quinn Allen,Prague,500
3256,Tina Baker,Paris,1000
3257,Wendy Turner,Zurich,500
3258,Eve Campbell,Madrid,2000
3259,Maya Davies,Athens,5000
3260,Carol Wilson,Dublin,5000
3261,Victor Williams,Lisbon,5000
3262,Olivia Baker,Zurich,5000
3263,Dave Williams,Amsterdam,500
3264,Maya Mitchell,Oslo,1000
3265,Maya Johnson,Berlin,2000
3266,Karen Green,Copenhagen,1000
3267,Wendy Carter,Copenhagen,500
3268,Iris Allen,Paris,10000
3269,Eve Young,Rome,1000
3270,Karen Scott,Paris,10000
3271,Yuki Walker,Paris,2000
3272,Zoe Hall,Copenhagen,1000
3273,Bob Evans,London,5000
3274,Iris Thomas,Amsterdam,500
3275,Eve Williams,Prague,5000
3276,Carol Roberts,Stockholm,5000
3277,Quinn Evans,Prague,1000
3278,Bob Williams,Oslo,2000
3279,Yuki Roberts,Amsterdam,1000
3280,Leo Hall,Copenhagen,5000
3281,Rosa Nelson,Amsterdam,5000
3282,Leo Nelson,Athens,5000
3283,Alice Wright,Riga,1000
3284,Carol Carter,Athens,10000
3285,Eve Johnson,Budapest,500
3286,Eve Allen,Rome,5000
3287,Karen Brown,Oslo,2000
3288,Quinn Carter,London,5000
3289,Eve Baker,Stockholm,10000
3290,Dave Jones,Vienna,1000
3291,Nick Nelson,Zurich,1000
3292,Tina Walker,Vienna,2000
3293,Grace Evans,Athens,500
3294,Leo Turner,Lisbon,500
3295,Jack Roberts,Helsinki,500
3296,Wendy Young,Stockholm,5000
3297,Nick Lewis,Lisbon,10000
3298,Nick King,Budapest,500
3299,Frank Allen,Oslo,2000
3300,Frank Wright,Riga,1000
3301,Rosa Hall,Dublin,2000
3302,Victor Nelson,Oslo,2000
3303,Wendy Green,Madrid,500
3304,Zoe Turner,Madrid,500
3305,Uma Smith,Riga,5000
3306,Dave Young,Riga,10000
3307,Dave Baker,Stockholm,10000
3308,Sam Perez,Paris,2000
3309,Nick Evans,Brussels,5000
3310,Rosa Walker,Madrid,1000
3311,Paul Brown,Lisbon,5000
3312,Nick Turner,Dublin,500
3313,Leo Perez,Brussels,10000
3314,Jack Thomas,Prague,2000
3315,Zoe Hall,Brussels,500
3316,Nick Jones,London,500
3317,Eve Perez,Lisbon,10000
3318,Xena Green,Budapest,2000
3319,Frank Scott,Oslo,1000
3320,Rosa Walker,Vienna,10000
3321,Uma Walker,Paris,10000
3322,Nick Taylor,Dublin,1000
3323,Maya Johnson,Helsinki,1000
3324,Nick Wilson,Madrid,1000
3325,Quinn Brown,Athens,5000
3326,Yuki Baker,Prague,10000
3327,Frank Johnson,Vienna,500
3328,Carol Smith,Oslo,500
3329,Uma Mitchell,Athens,1000
3330,Alice Green,Zurich,500
3331,Sam Walker,London,1000
3332,Olivia Baker,Lisbon,1000
3333,Hank Baker,Brussels,2000
3334,Grace Wright,Brussels,5000
3335,Yuki Thomas,Paris,2000
3336,Carol Taylor,London,10000
3337,Dave Brown,Stockholm,10000
3338,Dave Brown,Rome,2000
3339,Iris Davies,Berlin,500
3340,Paul Campbell,Lisbon,1000
3341,Maya Brown,Copenhagen,500
3342,Nick Williams,Copenhagen,500
3343,Grace Adams,Oslo,5000
3344,Karen Baker,Stockholm,1000
3345,Frank Roberts,London,1000
3346,Victor Scott,Riga,500
3347,Dave Johnson,Lisbon,5000
3348,Tina Green,Zurich,500
3349,Frank King,Prague,500
3350,Grace Green,London,10000
3351,Alice King,Helsinki,1000
3352,Grace Campbell,Lisbon,500
3353,Grace Smith,Budapest,1000
3354,Hank Williams,Rome,2000
3355,Iris Young,Vienna,500
3356,Leo Nelson,Zurich,2000
3357,Olivia Carter,Copenhagen,5000
3358,Quinn Walker,Vienna,2000
3359,Frank Evans,Prague,5000
3360,Dave Scott,Athens,2000
3361,Frank Perez,Vienna,5000
3362,Nick Allen,Oslo,10000
3363,Xena Thomas,Budapest,10000
3364,Dave Green,Dublin,5000
3365,Grace Scott,Lisbon,2000
3366,Uma Turner,Berlin,5000
3367,Frank Jones,Helsinki,2000
3368,Sam Hall,Warsaw,10000
3369,Uma King,Lisbon,5000
3370,Alice Brown,Amsterdam,2000
3371,Nick Perez,Amsterdam,2000
3372,Hank Williams,Vienna,2000
3373,Leo Taylor,Budapest,500
3374,Alice Johnson,London,2000
3375,Grace Allen,Athens,2000
3376,Hank Wright,Berlin,5000
3377,Jack Green,Vienna,10000
3378,Grace Brown,Zurich,2000
3379,Wendy Green,Berlin,10000
3380,Uma Hall,Oslo,2000
3381,Karen Evans,Vienna,500
3382,Zoe Young,Copenhagen,500
3383,Iris Hall,Madrid,500
3384,Olivia Davies,Riga,2000
3385,Sam Walker,Brussels,10000
3386,Alice Roberts,London,10000
3387,Alice Allen,Warsaw,1000
3388,Maya Jones,Zurich,10000
3389,Bob Johnson,London,500
3390,Paul Brown,Oslo,2000
3391,Iris Johnson,Lisbon,5000
3392,Carol Wright,Budapest,5000
3393,Tina Jones,Dublin,2000
3394,Wendy Allen,Copenhagen,500
3395,Leo Green,Madrid,500
3396,Hank Jones,London,1000
3397,Dave Johnson,Oslo,1000
3398,Frank Williams,Vienna,2000
3399,Rosa Smith,Paris,2000
3400,Zoe Jones,Madrid,500
3401,Jack Williams,Prague,2000
3402,Wendy Green,Dublin,2000
3403,Wendy Davies,Rome,10000
3404,Olivia Brown,Rome,2000
3405,Eve Mitchell,Athens,5000
3406,Uma Allen,Madrid,10000
3407,Quinn Wilson,Athens,5000
3408,Victor Young,Prague,2000
3409,Yuki Carter,Copenhagen,1000
3410,Carol Thomas,Warsaw,500
3411,Leo Wright,Brussels,1000
3412,Wendy Williams,Berlin,5000
3413,Bob Evans,London,1000
3414,Olivia Turner,Dublin,1000
3415,Paul Brown,Budapest,1000
3416,Sam Mitchell,Helsinki,10000
3417,Karen Mitchell,Warsaw,5000
3418,Uma Taylor,Helsinki,500
3419,Eve Wilson,Lisbon,5000
3420,Olivia Campbell,Riga,10000
3421,Grace Mitchell,Dublin,1000
3422,Carol Thomas,Oslo,1000
3423,Victor Roberts,Athens,500
3424,Eve Allen,Madrid,500
3425,Hank Smith,Stockholm,1000
3426,Iris Smith,Copenhagen,10000
3427,Olivia Lewis,Prague,500
3428,Rosa Williams,Lisbon,5000
3429,Grace Taylor,Dublin,10000
3430,Nick King,Budapest,500
3431,Olivia Thomas,Lisbon,500
3432,Bob Baker,Dublin,5000
3433,Grace Roberts,Vienna,5000
3434,Frank Green,Prague,10000
3435,Tina Young,Helsinki,5000
3436,Dave Adams,Paris,1000
3437,Dave Wilson,Madrid,500
3438,Bob Scott,Prague,1000
3439,Carol Wright,Madrid,2000
3440,Hank Green,Dublin,5000
3441,Maya Brown,Brussels,2000
3442,Paul Evans,Amsterdam,1000
3443,Leo Baker,Warsaw,10000
3444,Jack Carter,London,500
3445,Frank King,Riga,5000
3446,Xena Roberts,Brussels,1000
3447,Karen Adams,Berlin,1000
